"","Response_ID","Belief_in_God","Age"
"1","R_3CWnk1HLg4xvno1","1",29
"2","R_cNGf7xP5lOt788t","100",31
"3","R_71cMWWULx1goLvD","85",32
"4","R_9uDP25mB9pumw85","100",22
"5","R_1UhmDpohKJNQBVj","100",59
"6","R_cThXlfiohNg1F2d","100",24
"7","R_6xTUQh0mj3RJCe1","0",40
"8","R_3Q061tIJZn6rKtv","90",37
"9","R_bvc7MaXekBkrnJX","15",32
"10","R_0AFz6SGt9G8QaQB","100",61
"11","R_9oADoBkvroD9xul","60",28
"12","R_6A1KDn0VNu38bK5","50",47
"13","R_aaTIsr9QEINRVit","98",31
"14","R_7Omq4CAxYEKwDlP","25",29
"15","R_7VyfwrVQ6cI7wC9","0",48
"16","R_eyBGReFCPZlC9EN","100",35
"17","R_0NenlbL7Y4wrFyZ","100",59
"18","R_7TFYmTHkIybSx01","0",35
"19","R_diBm87GVY9oZOLz","20",29
"20","R_aac1T0KIt94GwYJ","90",40
"21","R_bO6AktYCz9KQm0d","2",29
"22","R_8kPSTAAqd8ZqZxj","18",26
"23","R_0cZMP03YlZlupoh","100",21
"24","R_4Yj9S1xTXzSkbit","100",34
"25","R_eeq2bHrafmWg60d","100",51
"26","R_cNixJqqOebjZk2h","100",22
"27","R_0DPRk21B7gjjGw5","75",31
"28","R_d0jmvEDVnkwPEqN","2",47
"29","R_eJOpEav9a6xXQgt","10",37
"30","R_3CtjKwXVA06uQiF","99",35
"31","R_2rVzDO2SaIfeJxj","20",33
"32","R_ahH2jcDLdUc7k2N","100",49
"33","R_8CkKYQrLpmke8yp","10",31
"34","R_cu1GyqHXCHasqqN","0",58
"35","R_25eZd00Lqx6gukR","100",48
"36","R_1ROaB5tF3S5ykhn","0",20
"37","R_eM7YvJCg7TTJyMR","10",19
"38","R_5134MoSqCLd0QgB","100",44
"39","R_54EIvfvczpj4uFL","20",30
"40","R_0Ioo4muG9XtS1lH","0",38
"41","R_7QEdMU4DBBDsTE9","100",49
"42","R_6MDiVub7Yb65cnH","50",41
"43","R_cAyb364vUDVO9Df","0",33
"44","R_d0av2CIaJWcCF8x","0",27
"45","R_d0d7t0PxKbDcfXf","0",25
"46","R_dnW4gdkUHDL9Gp7","100",44
"47","R_7QUC4126KhzjCId","10",32
"48","R_9uWn43tWyIYGpmt","0",44
"49","R_0wuiWxZoB9Cbpjv","50",60
"50","R_6sX0ktgPXN1kc6h","50",35
"51","R_3WaeDOKtwEUWG5T","0",43
"52","R_80xbrr8clfQ2ASh","60",44
"53","R_6x4XYAH1KfAEPKR","100",22
"54","R_dmQxYp7wbPsFSrb","5",65
"55","R_3z01kmPyAFNSBmt","0",49
"56","R_0czcmYVrzJsaEvj","0",27
"57","R_bQP28o1cYwjWmPP","80",36
"58","R_eg2S0HwrFyihGTP","100",26
"59","R_8DqpEF2yGWUwnhb","100",28
"60","R_4OsJfIgYXamLM4B","0",28
"61","R_0J82yXW4mXcyJjD","0",20
"62","R_0PR0zLDTmZVyPzv","100",67
"63","R_cvyctrD9iDnB0Zn","0",53
"64","R_51MLT2GnKm7RJDn","100",39
"65","R_6u13ILUwt54WCYl","0",24
"66","R_emTWuUEi2NfU8n3","0",25
"67","R_9tp3Py5y9Q6rsTX","100",41
"68","R_1TaGNWHkJbOlE5n","50",41
"69","R_0GIF62mVLhYlTdb","20",52
"70","R_cYLEqS9wWCKWKEd","100",50
"71","R_07Z9pfEErk7A0zX","1",25
"72","R_8GHoF7wKRrhCoK1","10",27
"73","R_8oIFtYF0G4FLd89","90",23
"74","R_07ZdJP8uhBWo2rP","20",24
"75","R_26kjECGjbJJeeW1","40",30
"76","R_7NHanxCxnvaY2gZ","0",29
"77","R_5dUAye95qGo8iZT","100",67
"78","R_9F7CruibKLhPHVP","75",42
"79","R_39KzUpwXtjdtT0x","8",27
"80","R_5nV3OPBBowo4xsp","0",48
"81","R_eFnG9bHovFiA5vf","40",31
"82","R_3Rd3HWbNPUzpfi5","100",31
"83","R_3V0qisorOybHWy9","100",31
"84","R_87zVHQ2VoyaWrjL","65",25
"85","R_diNtmrdWTGr0xY9","100",45
"86","R_bDu1WFb9FRrm64l","0",28
"87","R_8AlPhZDNfuxfK1T","2",28
"88","R_2hq7taz8t1TEdIp","25",24
"89","R_8HSJNPjBDT5NYWx","100",61
"90","R_77GSybUMewr84dv","100",41
"91","R_42Y4EMU4f2gKlN3","80",39
"92","R_4PzCCKlmCJkU9nL","100",32
"93","R_8BKJh9yH52bunvD","0",28
"94","R_b2wIq0owCg2sH7D","70",32
"95","R_2lCyzBDsKX99Pp3","100",51
"96","R_6EDipv89TZVNVE9","100",50
"97","R_3xcIkqXaD0Pjijb","5",22
"98","R_1Adz4hqllKiI06h","25",20
"99","R_bPkx8WpGxVyLKjH","90",40
"100","R_1AeSQmR8N0B3A57","10",37
"101","R_40Ew4ExagInAAst","10",25
"102","R_0SQPH3KusbpHtsN","0",65
"103","R_bHFnO7xrNbC2auF","100",27
"104","R_867fR838XI5TtZP","90",73
"105","R_3K3xUms6Z0Vu85f","100",71
"106","R_cDbV5Rfb2qb3pzf","1",32
"107","R_8ogN2cxRjnLoe69","100",42
"108","R_b47rafMwBwLwTtP","100",55
"109","R_ahk4XD4l0aFNdjL","0",32
"110","R_9KtHfEB1pfdqVLv","10",33
"111","R_b2XjZThBapbYq4R","100",62
"112","R_cIwCuJARutINIFf","100",64
"113","R_8CwRyLlOJezMOKF","65",37
"114","R_3xvKIrshCAaUzKR","75",31
"115","R_eEe5O9dubL2uQux","100",28
"116","R_e4FWXt3An348ta5","89",36
"117","R_dg7FVofzuBo9DNP","0",57
"118","R_2gIiLT3DkHxDn81","100",72
"119","R_eb9HpdERuKq27yt","1",25
"120","R_4Trsg81VAKzTLdH","20",27
"121","R_9t5gxRCKkVXuqOx","80",25
"122","R_07W0KJMoxpEr4yN","100",46
"123","R_9HnRThY4GPz9Rml","0",34
"124","R_4ZOKJ7W7XeZxqPX","50",32
"125","R_0JLgeV770umlztX","3",31
"126","R_427irn463T8Wnul","0",30
"127","R_6RNJW9BENeRZ3dH","40",43
"128","R_0wUOL8BoTw2uqgd","60",56
"129","R_6DL3kvPnMW4cow5","0",31
"130","R_9XelOAkCFHoM4OV","100",42
"131","R_bI2la0LhJ9kBmhn","85",30
"132","R_9GHLKlIZGJRc1wN","80",25
"133","R_cVkwWOazcQ2G1Tv","25",33
"134","R_dnBHogyT4SYd7W5","50",24
"135","R_0ICRiINT0mkB15P","0",31
"136","R_5gsv6fYnpgyQ6kl","2",29
"137","R_4OpHqVH2Hv70j6R","50",49
"138","R_0j0Nsl0DOVbJGD3","99",33
"139","R_56VCHlOZuTLl8YR","0",60
"140","R_41SKS15D3aVKvUp","70",22
"141","R_3JWheV0Rxl8xFJz","0",29
"142","R_1C7EJzlZpEzcP3L","1",23
"143","R_eQZKAWCvtW7KcaF","100",38
"144","R_bgEBfV7piLRtn1z","100",49
"145","R_eX0EtN8yLTcbvmJ","65",21
"146","R_8x2JfmK72m3G2tn","95",47
"147","R_6t0bFCvPr6SSjUV","100",26
"148","R_5hakHGm1D9L0yYB","75",40
"149","R_07nrEkRCiP7BrH7","20",36
"150","R_ai4QnBRwY2ODolD","0",28
"151","R_8CIdrMhd3i2cSYB","90",30
"152","R_0rBGbdBeM6N20VT","50",23
"153","R_bKmQBijydOGA6fb","100",26
"154","R_eaqPZ5xUvtWNBad","0",22
"155","R_cMwEmGsW8vRTa1D","0",34
"156","R_38DBysFpsT4IbDD","0",24
"157","R_2sIS3E0j8sFAR01","20",30
"158","R_5yDvr1LMf9JGyQ5","5",55
"159","R_eyUxp8LjrEgU4Ml","90",31
"160","R_3xZ6mKt3I408bdP","100",47
"161","R_eKe9eKEtdYIUh37","50",40
"162","R_brsvY0QdbBkAfSR","10",33
"163","R_8GrrX7Jd2C5EqPP","0",29
"164","R_6tEsbc0366XA3e5","0",35
"165","R_aWcvMzpgMLPWjyZ","25",24
"166","R_73biQjCAjB2k4zr","100",33
"167","R_3q6EQDIbHUwhyct","50",35
"168","R_3IetFeCvMFPymqx","10",26
"169","R_5gteJS4hqhHRuN7","100",20
"170","R_4UWX3RRDFOrI49T","0",40
"171","R_0Bt9BLeoCHqSdRH","60",25
"172","R_41scxNUA5gL8PHv","10",40
"173","R_agvGR7nVYTMykCN","50",51
"174","R_2ccxujhnVA0Oju5","0",48
"175","R_ezYNiEhqcnQx6bH","0",33
"176","R_1GKWnWPHmK61bPD","5",29
"177","R_71mJjSbqBOqAqXj","50",37
"178","R_3F1jjN9devA1KG9","10",20
"179","R_eexkjgrcRwYzDbn","1",27
"180","R_bryg6vv9wsbiHmB","0",24
"181","R_1FSSgJdF38LX87r","25",40
"182","R_0ebJvtggSCV9acJ","5",47
"183","R_7Ped1R4uQmiCZcV","99",27
"184","R_etitJntjwMPjGiF","85",21
"185","R_4T2XkDhcZnoYJU1","20",63
"186","R_6lOATVP5y8OZ93L","1",31
"187","R_1Nt1rCFa2LRB4H3","99",29
"188","R_2bnMqGE5wwCsvUV","90",26
"189","R_9zuA7XWeBYpoNsF","100",28
"190","R_7WFnCB29LcBGfOJ","100",55
"191","R_e2mfPWkf6me0lbD","10",41
"192","R_2lUhxw2GSqcA1P7","0",24
"193","R_2oiwdyxWWlYGvPv","30",20
"194","R_2uESX5xRH0ca2ax","95",29
"195","R_e5oIKiUMcJEXT5H","60",34
"196","R_aeEBec3R8i0yAzb","15",30
"197","R_5he4szMuseemq5T","100",40
"198","R_8D1AwMQHiwSDrrD","75",24
"199","R_3EjWnDxZV9MqCod","5",26
"200","R_3g5Sva1Ch4IahAp","1",29
"201","R_cHBrSVQrsRt6xWR","100",28
"202","R_8BnfluDjhtY0FjD","100",24
"203","R_4IRODqQKfeT9LKZ","55",43
"204","R_a67Q4SIuB57ohnv","0",21
"205","R_5pYAALKeWP9AtWR","100",33
"206","R_bNMsYhHclmC8iP3","50",24
"207","R_br29jP6ZcmDvhZ3","85",33
"208","R_bx9VGeH56R7wHEp","1",55
"209","R_5gojEdk4arN4GDr","15",22
"210","R_1HUjCdDFg2oreFT","0",43
"211","R_1FBHnAyJumkBz5H","0",23
"212","R_395gg9tK5MQHWC1","60",29
"213","R_8dbL7I5b69DyDCR","50",54
