"","Schnall Condition","Schnall Moral judgment","Johnson Condition","Johnson Moral judgment"
"1","neutral priming",7.83,"clean priming",7.5
"2","clean priming",6.17,"clean priming",7.5
"3","neutral priming",4.67,"clean priming",8.17
"4","clean priming",4.5,"clean priming",6.33
"5","neutral priming",7.67,"clean priming",7.83
"6","clean priming",5.17,"neutral priming",6.83
"7","clean priming",3.83,"clean priming",6.5
"8","neutral priming",7.67,"clean priming",7.83
"9","neutral priming",7.67,"neutral priming",8.33
"10","clean priming",4.5,"clean priming",6.5
"11","neutral priming",6,"neutral priming",7.67
"12","clean priming",5.17,"clean priming",6.67
"13","neutral priming",7,"clean priming",6.83
"14","clean priming",6.17,"clean priming",5.17
"15","neutral priming",4.33,"neutral priming",7.83
"16","clean priming",3.17,"neutral priming",6.83
"17","neutral priming",4,"clean priming",7
"18","neutral priming",6.67,"neutral priming",4.17
"19","clean priming",7.17,"neutral priming",6.17
"20","neutral priming",6.83,"clean priming",4
"21","clean priming",4.5,"clean priming",6.17
"22","clean priming",5.67,"neutral priming",7.17
"23","neutral priming",5.17,"clean priming",7.5
"24","clean priming",4.17,"neutral priming",6.5
"25","neutral priming",5.33,"clean priming",6.33
"26","neutral priming",4.83,"neutral priming",5.83
"27","clean priming",4.83,"clean priming",5.83
"28","clean priming",4.67,"clean priming",8.67
"29","clean priming",5.83,"neutral priming",6.17
"30","neutral priming",6.17,"clean priming",6.5
"31","neutral priming",7,"clean priming",6.17
"32","clean priming",5.83,"clean priming",2.5
"33","neutral priming",4.67,"neutral priming",5.5
"34","clean priming",5.5,"neutral priming",5.83
"35","neutral priming",5.17,"clean priming",6.33
"36","clean priming",6.5,"neutral priming",7
"37","neutral priming",5,"clean priming",3.5
"38","neutral priming",2.5,"clean priming",8
"39","clean priming",4.83,"neutral priming",5.5
"40","clean priming",1.5,"neutral priming",7.5
"41",NA,NA,"clean priming",7.17
"42",NA,NA,"clean priming",6.33
"43",NA,NA,"clean priming",7
"44",NA,NA,"neutral priming",5.33
"45",NA,NA,"clean priming",6
"46",NA,NA,"clean priming",4.83
"47",NA,NA,"clean priming",6.5
"48",NA,NA,"neutral priming",5.33
"49",NA,NA,"clean priming",8.67
"50",NA,NA,"neutral priming",4.17
"51",NA,NA,"neutral priming",6.5
"52",NA,NA,"neutral priming",5.67
"53",NA,NA,"neutral priming",5
"54",NA,NA,"clean priming",4.33
"55",NA,NA,"clean priming",5.5
"56",NA,NA,"neutral priming",6.5
"57",NA,NA,"clean priming",7.5
"58",NA,NA,"clean priming",7.33
"59",NA,NA,"clean priming",7
"60",NA,NA,"neutral priming",7.83
"61",NA,NA,"neutral priming",7.83
"62",NA,NA,"clean priming",7.67
"63",NA,NA,"clean priming",6.33
"64",NA,NA,"clean priming",4.83
"65",NA,NA,"neutral priming",5.67
"66",NA,NA,"neutral priming",7.33
"67",NA,NA,"clean priming",7.17
"68",NA,NA,"neutral priming",7.83
"69",NA,NA,"neutral priming",6.5
"70",NA,NA,"neutral priming",6.17
"71",NA,NA,"clean priming",6.5
"72",NA,NA,"clean priming",7.17
"73",NA,NA,"clean priming",6
"74",NA,NA,"neutral priming",7.5
"75",NA,NA,"clean priming",5.33
"76",NA,NA,"clean priming",6
"77",NA,NA,"neutral priming",8.17
"78",NA,NA,"neutral priming",6.67
"79",NA,NA,"neutral priming",6.83
"80",NA,NA,"neutral priming",5.33
"81",NA,NA,"neutral priming",5.33
"82",NA,NA,"clean priming",8
"83",NA,NA,"neutral priming",4.67
"84",NA,NA,"clean priming",5
"85",NA,NA,"clean priming",4.33
"86",NA,NA,"clean priming",6.67
"87",NA,NA,"clean priming",7
"88",NA,NA,"clean priming",6.5
"89",NA,NA,"clean priming",6.17
"90",NA,NA,"neutral priming",6.83
"91",NA,NA,"neutral priming",7
"92",NA,NA,"clean priming",7.33
"93",NA,NA,"neutral priming",7
"94",NA,NA,"neutral priming",4.33
"95",NA,NA,"neutral priming",6.33
"96",NA,NA,"neutral priming",7.17
"97",NA,NA,"clean priming",4.67
"98",NA,NA,"clean priming",5.67
"99",NA,NA,"neutral priming",6.5
"100",NA,NA,"clean priming",7
"101",NA,NA,"neutral priming",8.83
"102",NA,NA,"clean priming",8.17
"103",NA,NA,"clean priming",6.83
"104",NA,NA,"clean priming",6.83
"105",NA,NA,"neutral priming",6.5
"106",NA,NA,"clean priming",6.67
"107",NA,NA,"neutral priming",6.83
"108",NA,NA,"clean priming",4.83
"109",NA,NA,"neutral priming",7.33
"110",NA,NA,"neutral priming",6.17
"111",NA,NA,"neutral priming",5.5
"112",NA,NA,"clean priming",7
"113",NA,NA,"neutral priming",6.83
"114",NA,NA,"clean priming",9
"115",NA,NA,"clean priming",5.67
"116",NA,NA,"neutral priming",4.5
"117",NA,NA,"neutral priming",6.33
"118",NA,NA,"clean priming",4.67
"119",NA,NA,"neutral priming",7.67
"120",NA,NA,"clean priming",7
"121",NA,NA,"clean priming",6.67
"122",NA,NA,"neutral priming",7
"123",NA,NA,"clean priming",6.17
"124",NA,NA,"clean priming",5
"125",NA,NA,"clean priming",6.5
"126",NA,NA,"clean priming",6
"127",NA,NA,"neutral priming",7.5
"128",NA,NA,"neutral priming",6.5
"129",NA,NA,"neutral priming",5.67
"130",NA,NA,"clean priming",6
"131",NA,NA,"neutral priming",8
"132",NA,NA,"neutral priming",7.67
"133",NA,NA,"neutral priming",5.5
"134",NA,NA,"clean priming",6.5
"135",NA,NA,"clean priming",6.67
"136",NA,NA,"clean priming",8
"137",NA,NA,"clean priming",6.33
"138",NA,NA,"clean priming",7.33
"139",NA,NA,"neutral priming",3.67
"140",NA,NA,"neutral priming",6.83
"141",NA,NA,"neutral priming",6
"142",NA,NA,"neutral priming",7.33
"143",NA,NA,"clean priming",5.5
"144",NA,NA,"neutral priming",6.67
"145",NA,NA,"clean priming",7
"146",NA,NA,"neutral priming",6
"147",NA,NA,"clean priming",6.5
"148",NA,NA,"neutral priming",5
"149",NA,NA,"neutral priming",7.83
"150",NA,NA,"neutral priming",7.83
"151",NA,NA,"clean priming",7.5
"152",NA,NA,"clean priming",5
"153",NA,NA,"clean priming",7
"154",NA,NA,"neutral priming",4.83
"155",NA,NA,"neutral priming",6
"156",NA,NA,"neutral priming",8
"157",NA,NA,"clean priming",6.83
"158",NA,NA,"neutral priming",7
"159",NA,NA,"neutral priming",5.33
"160",NA,NA,"clean priming",7.33
"161",NA,NA,"neutral priming",7.67
"162",NA,NA,"neutral priming",4
"163",NA,NA,"clean priming",6.67
"164",NA,NA,"neutral priming",7
"165",NA,NA,"neutral priming",7.83
"166",NA,NA,"neutral priming",7
"167",NA,NA,"neutral priming",7
"168",NA,NA,"clean priming",6.33
"169",NA,NA,"neutral priming",6.33
"170",NA,NA,"neutral priming",4.67
"171",NA,NA,"clean priming",7
"172",NA,NA,"neutral priming",6.5
"173",NA,NA,"clean priming",6.17
"174",NA,NA,"clean priming",7.33
"175",NA,NA,"neutral priming",7
"176",NA,NA,"neutral priming",7.67
"177",NA,NA,"neutral priming",6.67
"178",NA,NA,"neutral priming",8
"179",NA,NA,"clean priming",7
"180",NA,NA,"neutral priming",6.67
"181",NA,NA,"neutral priming",4.5
"182",NA,NA,"clean priming",7
"183",NA,NA,"neutral priming",8
"184",NA,NA,"neutral priming",6
"185",NA,NA,"clean priming",7.17
"186",NA,NA,"neutral priming",4.67
"187",NA,NA,"clean priming",5.5
"188",NA,NA,"clean priming",6.67
"189",NA,NA,"neutral priming",7.17
"190",NA,NA,"clean priming",7.33
"191",NA,NA,"clean priming",7.5
"192",NA,NA,"neutral priming",7.17
"193",NA,NA,"clean priming",4.5
"194",NA,NA,"clean priming",7.17
"195",NA,NA,"clean priming",6.67
"196",NA,NA,"neutral priming",6.67
"197",NA,NA,"clean priming",7
"198",NA,NA,"clean priming",5.5
"199",NA,NA,"neutral priming",7
"200",NA,NA,"neutral priming",6.83
"201",NA,NA,"clean priming",6.17
"202",NA,NA,"clean priming",7.67
"203",NA,NA,"clean priming",5.33
"204",NA,NA,"clean priming",5
"205",NA,NA,"neutral priming",3.67
"206",NA,NA,"neutral priming",7.67
"207",NA,NA,"neutral priming",6.67
"208",NA,NA,"neutral priming",6.33
